prioridade,tempo,nome
56921,541,fish-and-chips-1
57604,571,steak-and-ale-pie-2
213687,424,bubble-and-squeak-3
236037,614,cottage-pie-4
198907,782,pizza-margherita-5
103632,177,risotto-6
146801,238,lasagna-7
214715,866,carbonara-8
208194,139,feijoada-9
14837,675,moqueca-10
262233,36,acaraje-11
17108,50,pao-de-queijo-12
195698,77,sushi-13
198675,432,tempura-14
94296,554,ramen-15
49346,753,okonomiyaki-16
287184,479,fish-and-chips-17
146320,315,steak-and-ale-pie-18
261760,755,bubble-and-squeak-19
85860,996,cottage-pie-20
136837,265,pizza-margherita-21
273430,452,risotto-22
232599,988,lasagna-23
187988,653,carbonara-24
54545,941,feijoada-25
43177,828,moqueca-26
69228,650,acaraje-27
244071,700,pao-de-queijo-28
156280,115,sushi-29
124064,891,tempura-30
130664,221,ramen-31
128916,621,okonomiyaki-32
277033,680,fish-and-chips-33
209707,222,steak-and-ale-pie-34
184817,432,bubble-and-squeak-35
111071,53,cottage-pie-36
142142,879,pizza-margherita-37
224831,805,risotto-38
109776,930,lasagna-39
85179,261,carbonara-40
116617,349,feijoada-41
200710,65,moqueca-42
65349,904,acaraje-43
20951,88,pao-de-queijo-44
85180,863,sushi-45
98934,109,tempura-46
193046,609,ramen-47
215489,236,okonomiyaki-48
166010,392,fish-and-chips-49
85370,206,steak-and-ale-pie-50
259929,497,bubble-and-squeak-51
294975,26,cottage-pie-52
43909,346,pizza-margherita-53
34573,346,risotto-54
85648,150,lasagna-55
144089,315,carbonara-56
295599,607,feijoada-57
167712,778,moqueca-58
286755,315,acaraje-59
160766,811,pao-de-queijo-60
286070,212,sushi-61
26220,291,tempura-62
166899,675,ramen-63
23264,813,okonomiyaki-64
237267,385,fish-and-chips-65
148718,939,steak-and-ale-pie-66
171410,112,bubble-and-squeak-67
39392,313,cottage-pie-68
270344,877,pizza-margherita-69
210437,44,risotto-70
24904,321,lasagna-71
132524,38,carbonara-72
38412,292,feijoada-73
219583,674,moqueca-74
89313,475,acaraje-75
268135,101,pao-de-queijo-76
260165,565,sushi-77
164212,274,tempura-78
124155,204,ramen-79
205357,837,okonomiyaki-80
70407,456,fish-and-chips-81
283120,525,steak-and-ale-pie-82
147704,903,bubble-and-squeak-83
209049,356,cottage-pie-84
107874,58,pizza-margherita-85
209541,818,risotto-86
132917,90,lasagna-87
89474,958,carbonara-88
104001,908,feijoada-89
192860,580,moqueca-90
284482,89,acaraje-91
212009,707,pao-de-queijo-92
88781,213,sushi-93
217163,21,tempura-94
73337,591,ramen-95
252643,788,okonomiyaki-96
262662,818,fish-and-chips-97
126256,457,steak-and-ale-pie-98
183613,248,bubble-and-squeak-99
134777,281,cottage-pie-100
204768,41,pizza-margherita-101
224370,702,risotto-102
120450,392,lasagna-103
47532,394,carbonara-104
36114,918,feijoada-105
256839,749,moqueca-106
75475,726,acaraje-107
115621,87,pao-de-queijo-108
41684,110,sushi-109
250906,192,tempura-110
142950,526,ramen-111
100770,979,okonomiyaki-112
282306,550,fish-and-chips-113
200702,846,steak-and-ale-pie-114
139886,202,bubble-and-squeak-115
83253,442,cottage-pie-116
58809,15,pizza-margherita-117
253452,711,risotto-118
18645,48,lasagna-119
55548,655,carbonara-120
119283,895,feijoada-121
158462,467,moqueca-122
189031,897,acaraje-123
193112,750,pao-de-queijo-124
253425,19,sushi-125
1758,681,tempura-126
202005,180,ramen-127
201320,77,okonomiyaki-128
218159,901,fish-and-chips-129
38392,309,steak-and-ale-pie-130
188155,445,bubble-and-squeak-131
104590,94,cottage-pie-132
104306,335,pizza-margherita-133
238280,437,risotto-134
202939,960,lasagna-135
63877,659,carbonara-136
37860,421,feijoada-137
228073,356,moqueca-138
175609,296,acaraje-139
222572,934,pao-de-queijo-140
52540,613,sushi-141
158556,452,tempura-142
14918,319,ramen-143
231875,794,okonomiyaki-144
229132,111,fish-and-chips-145
32276,18,steak-and-ale-pie-146
383,481,bubble-and-squeak-147
266566,354,cottage-pie-148
53281,244,pizza-margherita-149
151658,906,risotto-150
12296,313,lasagna-151
71513,699,carbonara-152
143105,9,feijoada-153
49844,843,moqueca-154
21494,352,acaraje-155
63199,572,pao-de-queijo-156
122020,204,sushi-157
19162,701,tempura-158
11383,733,ramen-159
177728,374,okonomiyaki-160
291955,592,fish-and-chips-161
253258,40,steak-and-ale-pie-162
135905,98,bubble-and-squeak-163
111557,133,cottage-pie-164
170096,833,pizza-margherita-165
48811,407,risotto-166
25877,920,lasagna-167
204512,720,carbonara-168
281607,279,feijoada-169
4147,411,moqueca-170
112837,796,acaraje-171
259160,910,pao-de-queijo-172
210767,15,sushi-173
268970,766,tempura-174
44695,718,ramen-175
125918,730,okonomiyaki-176
171699,459,fish-and-chips-177
131403,373,steak-and-ale-pie-178
560,312,bubble-and-squeak-179
236903,884,cottage-pie-180
231053,554,pizza-margherita-181
243312,646,risotto-182
123245,786,lasagna-183
138496,13,carbonara-184
101700,57,feijoada-185
125920,776,moqueca-186
99127,317,acaraje-187
283454,265,pao-de-queijo-188
102241,381,sushi-189
158416,17,tempura-190
165919,841,ramen-191
139959,383,okonomiyaki-192
59999,710,fish-and-chips-193
250931,332,steak-and-ale-pie-194
227120,572,bubble-and-squeak-195
289090,77,cottage-pie-196
182281,13,pizza-margherita-197
251907,584,risotto-198
274268,209,lasagna-199
27718,310,carbonara-200
147258,653,feijoada-201
98930,153,moqueca-202
238140,352,acaraje-203
143804,898,pao-de-queijo-204
151278,230,sushi-205
143859,605,tempura-206
237860,712,ramen-207
141088,126,okonomiyaki-208
48192,119,fish-and-chips-209
227023,989,steak-and-ale-pie-210
175755,790,bubble-and-squeak-211
56645,31,cottage-pie-212
30695,261,pizza-margherita-213
109965,241,risotto-214
255176,185,lasagna-215
229565,635,carbonara-216
142547,754,feijoada-217
10087,610,moqueca-218
83877,537,acaraje-219
173171,137,pao-de-queijo-220
89849,298,sushi-221
24431,853,tempura-222
48302,664,ramen-223
43388,810,okonomiyaki-224
162152,932,fish-and-chips-225
174829,975,steak-and-ale-pie-226
19081,846,bubble-and-squeak-227
171957,444,cottage-pie-228
135166,832,pizza-margherita-229
218047,928,risotto-230
43192,117,lasagna-231
223771,587,carbonara-232
128461,927,feijoada-233
153335,184,moqueca-234
152748,616,acaraje-235
213429,89,pao-de-queijo-236
32263,805,sushi-237
81062,890,tempura-238
156199,73,ramen-239
34752,817,okonomiyaki-240
8339,579,fish-and-chips-241
293479,409,steak-and-ale-pie-242
116506,465,bubble-and-squeak-243
289702,967,cottage-pie-244
22201,324,pizza-margherita-245
152820,677,risotto-246
99575,52,lasagna-247
168076,248,carbonara-248
176295,488,feijoada-249
203559,532,moqueca-250
107267,775,acaraje-251
294653,676,pao-de-queijo-252
262135,333,sushi-253
34550,309,tempura-254
46845,58,ramen-255
295204,964,okonomiyaki-256
139289,133,fish-and-chips-257
157962,331,steak-and-ale-pie-258
134156,915,bubble-and-squeak-259
273796,698,cottage-pie-260
192430,408,pizza-margherita-261
280609,321,risotto-262
74947,420,lasagna-263
94742,722,carbonara-264
74608,954,feijoada-265
85936,914,moqueca-266
118360,841,acaraje-267
71154,445,pao-de-queijo-268
26639,572,sushi-269
197786,580,tempura-270
171055,999,ramen-271
129381,92,okonomiyaki-272
87449,647,fish-and-chips-273
174940,940,steak-and-ale-pie-274
74753,554,bubble-and-squeak-275
207405,868,cottage-pie-276
123422,566,pizza-margherita-277
109265,149,risotto-278
191498,24,lasagna-279
14191,958,carbonara-280
193418,670,feijoada-281
155882,150,moqueca-282
145925,998,acaraje-283
200704,705,pao-de-queijo-284
45641,679,sushi-285
115241,29,tempura-286
45453,628,ramen-287
67218,165,okonomiyaki-288
2227,33,fish-and-chips-289
62889,210,steak-and-ale-pie-290
104659,825,bubble-and-squeak-291
90554,598,cottage-pie-292
294904,271,pizza-margherita-293
94450,671,risotto-294
116076,830,lasagna-295
109813,139,carbonara-296
191858,717,feijoada-297
117880,739,moqueca-298
29355,189,acaraje-299
56932,730,pao-de-queijo-300
148936,533,sushi-301
213638,562,tempura-302
109070,31,ramen-303
272638,159,okonomiyaki-304
286342,42,fish-and-chips-305
203863,892,steak-and-ale-pie-306
75580,309,bubble-and-squeak-307
157395,233,cottage-pie-308
179862,254,pizza-margherita-309
143740,966,risotto-310
201436,223,lasagna-311
259858,338,carbonara-312
95578,970,feijoada-313
266420,342,moqueca-314
90135,772,acaraje-315
85718,970,pao-de-queijo-316
44877,818,sushi-317
255821,33,tempura-318
196354,970,ramen-319
84785,765,okonomiyaki-320
166292,536,fish-and-chips-321
138379,46,steak-and-ale-pie-322
161058,512,bubble-and-squeak-323
258411,851,cottage-pie-324
291556,538,pizza-margherita-325
241009,853,risotto-326
185928,27,lasagna-327
270016,153,carbonara-328
197447,309,feijoada-329
163237,298,moqueca-330
22284,843,acaraje-331
175680,699,pao-de-queijo-332
248202,697,sushi-333
167502,460,tempura-334
246746,717,ramen-335
264695,884,okonomiyaki-336
82688,230,fish-and-chips-337
86865,545,steak-and-ale-pie-338
294576,940,bubble-and-squeak-339
139264,210,cottage-pie-340
21101,463,pizza-margherita-341
216395,180,risotto-342
184485,282,lasagna-343
168241,799,carbonara-344
282675,364,feijoada-345
117733,288,moqueca-346
247610,4,acaraje-347
61363,938,pao-de-queijo-348
7495,334,sushi-349
193518,446,tempura-350
192505,312,ramen-351
221954,711,okonomiyaki-352
65347,858,fish-and-chips-353
113086,963,steak-and-ale-pie-354
292731,626,bubble-and-squeak-355
55760,485,cottage-pie-356
299257,973,pizza-margherita-357
94106,56,risotto-358
132561,351,lasagna-359
271053,307,carbonara-360
67526,644,feijoada-361
261378,87,moqueca-362
142679,360,acaraje-363
181274,635,pao-de-queijo-364
86539,910,sushi-365
63062,272,tempura-366
29020,37,ramen-367
5897,651,okonomiyaki-368
204704,703,fish-and-chips-369
66358,572,steak-and-ale-pie-370
102188,183,bubble-and-squeak-371
193622,395,cottage-pie-372
