prioridade,tempo,nome
131224,316,fish-and-chips-1
226795,47,steak-and-ale-pie-2
193756,756,bubble-and-squeak-3
25477,113,cottage-pie-4
226106,468,pizza-margherita-5
206634,856,risotto-6
200209,295,lasagna-7
269985,396,carbonara-8
154629,327,feijoada-9
266308,138,moqueca-10
137944,613,acaraje-11
37786,928,pao-de-queijo-12
23483,982,sushi-13
218267,863,tempura-14
73455,207,ramen-15
234359,706,okonomiyaki-16
202477,604,fish-and-chips-17
27935,482,steak-and-ale-pie-18
284488,174,bubble-and-squeak-19
75154,588,cottage-pie-20
163994,735,pizza-margherita-21
166046,746,risotto-22
142491,912,lasagna-23
252264,537,carbonara-24
265211,212,feijoada-25
298506,890,moqueca-26
20392,498,acaraje-27
31450,634,pao-de-queijo-28
80896,8,sushi-29
76637,792,tempura-30
206248,123,ramen-31
22304,879,okonomiyaki-32
264325,469,fish-and-chips-33
296071,481,steak-and-ale-pie-34
26789,327,bubble-and-squeak-35
19733,717,cottage-pie-36
219906,304,pizza-margherita-37
95963,57,risotto-38
125116,643,lasagna-39
178946,726,carbonara-40
73968,31,feijoada-41
261402,121,moqueca-42
21815,836,acaraje-43
239515,860,pao-de-queijo-44
56965,947,sushi-45
215712,695,tempura-46
6332,993,ramen-47
241725,225,okonomiyaki-48
55118,587,fish-and-chips-49
99209,169,steak-and-ale-pie-50
99995,849,bubble-and-squeak-51
40370,934,cottage-pie-52
167603,727,pizza-margherita-53
173031,573,risotto-54
93327,826,lasagna-55
195873,737,carbonara-56
68179,512,feijoada-57
165513,875,moqueca-58
225754,793,acaraje-59
19030,314,pao-de-queijo-60
202543,503,sushi-61
219527,513,tempura-62
192321,410,ramen-63
14107,411,okonomiyaki-64
196178,555,fish-and-chips-65
99022,464,steak-and-ale-pie-66
1457,205,bubble-and-squeak-67
136457,114,cottage-pie-68
209352,128,pizza-margherita-69
222786,150,risotto-70
100799,206,lasagna-71
228451,663,carbonara-72
189217,172,feijoada-73
89819,175,moqueca-74
151963,533,acaraje-75
2789,240,pao-de-queijo-76
221252,250,sushi-77
15731,325,tempura-78
226329,364,ramen-79
111589,756,okonomiyaki-80
243541,201,fish-and-chips-81
90078,843,steak-and-ale-pie-82
251911,610,bubble-and-squeak-83
2443,771,cottage-pie-84
204476,162,pizza-margherita-85
240973,81,risotto-86
140787,563,lasagna-87
140145,830,carbonara-88
94783,267,feijoada-89
214428,138,moqueca-90
238932,350,acaraje-91
127005,208,pao-de-queijo-92
199441,920,sushi-93
292653,675,tempura-94
90251,892,ramen-95
93465,894,okonomiyaki-96
192778,231,fish-and-chips-97
264722,252,steak-and-ale-pie-98
128857,538,bubble-and-squeak-99
296270,20,cottage-pie-100
287970,838,pizza-margherita-101
189436,717,risotto-102
280951,100,lasagna-103
193425,981,carbonara-104
68558,800,feijoada-105
271157,602,moqueca-106
284591,624,acaraje-107
38781,535,pao-de-queijo-108
203292,95,sushi-109
188228,694,tempura-110
20733,362,ramen-111
163878,131,okonomiyaki-112
102331,958,fish-and-chips-113
73016,81,steak-and-ale-pie-114
230221,829,bubble-and-squeak-115
241666,142,cottage-pie-116
17914,135,pizza-margherita-117
152946,814,risotto-118
265556,720,lasagna-119
38648,127,carbonara-120
276753,197,feijoada-121
92493,976,moqueca-122
147424,57,acaraje-123
203485,86,pao-de-queijo-124
299371,387,sushi-125
161102,705,tempura-126
101799,841,ramen-127
25438,981,okonomiyaki-128
185823,686,fish-and-chips-129
89586,636,steak-and-ale-pie-130
209417,448,bubble-and-squeak-131
132275,60,cottage-pie-132
197144,229,pizza-margherita-133
56299,307,risotto-134
290057,819,lasagna-135
176573,874,carbonara-136
289928,934,feijoada-137
205645,569,moqueca-138
162550,457,acaraje-139
52588,667,pao-de-queijo-140
115514,738,sushi-141
121835,387,tempura-142
174987,555,ramen-143
211920,745,okonomiyaki-144
176132,350,fish-and-chips-145
38493,81,steak-and-ale-pie-146
42804,396,bubble-and-squeak-147
150701,916,cottage-pie-148
202814,978,pizza-margherita-149
217660,385,risotto-150
239489,378,lasagna-151
290767,807,carbonara-152
284254,170,feijoada-153
271508,485,moqueca-154
276248,977,acaraje-155
209164,510,pao-de-queijo-156
111263,302,sushi-157
91659,534,tempura-158
14952,37,ramen-159
5852,48,okonomiyaki-160
173253,193,fish-and-chips-161
96534,662,steak-and-ale-pie-162
203392,810,bubble-and-squeak-163
72633,154,cottage-pie-164
295929,884,pizza-margherita-165
292529,197,risotto-166
53692,178,lasagna-167
115,800,carbonara-168
22723,531,feijoada-169
193775,945,moqueca-170
34843,922,acaraje-171
209292,816,pao-de-queijo-172
18941,193,sushi-173
194066,599,tempura-174
180962,977,ramen-175
84324,583,okonomiyaki-176
182467,590,fish-and-chips-177
85215,791,steak-and-ale-pie-178
176587,354,bubble-and-squeak-179
130880,574,cottage-pie-180
79307,493,pizza-margherita-181
212925,923,risotto-182
204420,326,lasagna-183
220280,829,carbonara-184
88415,77,feijoada-185
243456,78,moqueca-186
53718,207,acaraje-187
51097,948,pao-de-queijo-188
220341,58,sushi-189
196939,200,tempura-190
145487,409,ramen-191
136002,20,okonomiyaki-192
67034,624,fish-and-chips-193
223327,58,steak-and-ale-pie-194
261773,533,bubble-and-squeak-195
1118,673,cottage-pie-196
68855,702,pizza-margherita-197
